episode,steps_done,timestep,total_reward,loss
184,9601,75,30.0,"tensor(0.8876, grad_fn=<SmoothL1LossBackward0>)"
185,9619,17,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
186,9736,116,60.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
187,9740,3,0.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
188,9865,124,60.0,"tensor(0.5907, grad_fn=<SmoothL1LossBackward0>)"
189,9983,117,30.0,"tensor(0.5940, grad_fn=<SmoothL1LossBackward0>)"
190,9995,11,10.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
191,10031,35,20.0,"tensor(0.5934, grad_fn=<SmoothL1LossBackward0>)"
192,10051,19,0.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
193,10091,39,30.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
194,10096,4,0.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
195,10339,242,60.0,"tensor(0.2975, grad_fn=<SmoothL1LossBackward0>)"
196,10494,154,90.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
197,10496,1,0.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
198,10501,4,0.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
199,10514,12,0.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
200,10543,28,30.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
201,10591,47,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
202,10716,124,50.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
203,10719,2,0.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
204,10779,59,30.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
205,10817,37,0.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
206,10950,132,80.0,"tensor(0.8890, grad_fn=<SmoothL1LossBackward0>)"
207,10961,10,10.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
208,10967,5,0.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
209,11022,54,20.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
210,11028,5,0.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
211,11036,7,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
212,11091,54,10.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
213,11120,28,10.0,"tensor(1.0438, grad_fn=<SmoothL1LossBackward0>)"
214,11166,45,30.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
215,11172,5,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
216,11177,4,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
217,11473,295,110.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
218,11490,16,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
219,11519,28,10.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
220,11594,74,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
221,11601,6,0.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
222,11701,99,50.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
223,11772,70,70.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
224,11784,11,0.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
225,11789,4,0.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
226,11816,26,10.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
227,11823,6,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
228,11829,5,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
229,11883,53,30.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
230,11947,63,20.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
231,11951,3,10.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
232,11957,5,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
233,11980,22,20.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
234,12006,25,0.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
235,12045,38,10.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
236,12049,3,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
237,12051,1,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
238,12097,45,20.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
239,12106,8,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
240,12124,17,20.0,"tensor(0.5932, grad_fn=<SmoothL1LossBackward0>)"
241,12142,17,10.0,"tensor(0.5929, grad_fn=<SmoothL1LossBackward0>)"
242,12153,10,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
243,12235,81,30.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
244,12256,20,0.0,"tensor(0.8891, grad_fn=<SmoothL1LossBackward0>)"
245,12261,4,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
246,12353,91,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
247,12384,30,20.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
248,12435,50,30.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
249,12474,38,10.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
250,12639,164,90.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
251,12648,8,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
252,12669,20,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
253,12868,198,45.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
254,12903,34,30.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
255,12983,79,40.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
256,12987,3,0.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
257,13060,72,50.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
258,13064,3,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
259,13087,22,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
260,13182,94,70.0,"tensor(1.1830, grad_fn=<SmoothL1LossBackward0>)"
261,13189,6,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
262,13208,18,10.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
263,13262,53,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
264,13270,7,10.0,"tensor(1.1829, grad_fn=<SmoothL1LossBackward0>)"
265,13333,62,10.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
266,13361,27,20.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
267,13534,172,90.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
268,13600,65,30.0,"tensor(0.5909, grad_fn=<SmoothL1LossBackward0>)"
269,13634,33,20.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
270,13699,64,20.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
271,13736,36,10.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
272,13828,91,70.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
273,13841,12,10.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
274,13885,43,20.0,"tensor(0.8878, grad_fn=<SmoothL1LossBackward0>)"
275,13931,45,30.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
276,13940,8,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
277,14019,78,20.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
278,14054,34,0.0,"tensor(0.8877, grad_fn=<SmoothL1LossBackward0>)"
279,14063,8,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
280,14069,5,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
281,14121,51,30.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
282,14158,36,10.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
283,14173,14,10.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
284,14184,10,0.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
285,14254,69,30.0,"tensor(0.8886, grad_fn=<SmoothL1LossBackward0>)"
286,14309,54,30.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
287,14329,19,0.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
288,14335,5,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
289,14340,4,0.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
290,14370,29,20.0,"tensor(0.8874, grad_fn=<SmoothL1LossBackward0>)"
291,14398,27,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
292,14441,42,20.0,"tensor(0.8883, grad_fn=<SmoothL1LossBackward0>)"
293,14599,157,30.0,"tensor(0.5925, grad_fn=<SmoothL1LossBackward0>)"
294,14623,23,10.0,"tensor(0.2973, grad_fn=<SmoothL1LossBackward0>)"
295,14661,37,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
296,14709,47,40.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
297,14745,35,0.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
298,14799,53,20.0,"tensor(0.8870, grad_fn=<SmoothL1LossBackward0>)"
299,14806,6,0.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
300,14810,3,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
301,14834,23,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
302,14847,12,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
303,14895,47,20.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
304,15008,112,50.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
305,15014,5,0.0,"tensor(0.8873, grad_fn=<SmoothL1LossBackward0>)"
306,15030,15,10.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
307,15093,62,20.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
308,15107,13,20.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
