episode,steps_done,timestep,total_reward,loss
243,10998,7,0.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
244,11002,3,10.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
245,11005,2,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
246,11050,44,20.0,"tensor(0.5931, grad_fn=<SmoothL1LossBackward0>)"
247,11062,11,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
248,11082,19,0.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
249,11102,19,20.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
250,11148,45,10.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
251,11165,16,0.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
252,11244,78,20.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
253,11284,39,20.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
254,11309,24,0.0,"tensor(0.8883, grad_fn=<SmoothL1LossBackward0>)"
255,11367,57,20.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
256,11385,17,0.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
257,11433,47,30.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
258,11451,17,10.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
259,11544,92,20.0,"tensor(0.8880, grad_fn=<SmoothL1LossBackward0>)"
260,11561,16,0.0,"tensor(0.5911, grad_fn=<SmoothL1LossBackward0>)"
261,11662,100,50.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
262,11696,33,0.0,"tensor(0.5906, grad_fn=<SmoothL1LossBackward0>)"
263,11734,37,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
264,11762,27,20.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
265,11771,8,10.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
266,11791,19,0.0,"tensor(0.8884, grad_fn=<SmoothL1LossBackward0>)"
267,11830,38,10.0,"tensor(0.2971, grad_fn=<SmoothL1LossBackward0>)"
268,11847,16,10.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
269,11852,4,0.0,"tensor(1.7898, grad_fn=<SmoothL1LossBackward0>)"
270,11964,111,60.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
271,11996,31,20.0,"tensor(0.5923, grad_fn=<SmoothL1LossBackward0>)"
272,12022,25,0.0,"tensor(0.7474, grad_fn=<SmoothL1LossBackward0>)"
273,12027,4,10.0,"tensor(0.2974, grad_fn=<SmoothL1LossBackward0>)"
274,12122,94,30.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
275,12172,49,20.0,"tensor(0.5916, grad_fn=<SmoothL1LossBackward0>)"
276,12306,133,20.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
277,12315,8,0.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
278,12443,127,40.0,"tensor(0.8859, grad_fn=<SmoothL1LossBackward0>)"
279,12622,178,90.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
280,12627,4,0.0,"tensor(0.0028, grad_fn=<SmoothL1LossBackward0>)"
281,12744,116,20.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
282,12785,40,20.0,"tensor(0.5913, grad_fn=<SmoothL1LossBackward0>)"
283,12804,18,10.0,"tensor(0.0027, grad_fn=<SmoothL1LossBackward0>)"
