episode,steps_done,timestep,total_reward,loss
119,5886,94,25.0,"tensor(0.2938, grad_fn=<SmoothL1LossBackward0>)"
120,5920,33,10.0,"tensor(0.8819, grad_fn=<SmoothL1LossBackward0>)"
121,5951,30,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
122,6034,82,50.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
123,6037,2,0.0,"tensor(0.5887, grad_fn=<SmoothL1LossBackward0>)"
124,6060,22,10.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
125,6082,21,20.0,"tensor(0.5902, grad_fn=<SmoothL1LossBackward0>)"
126,6094,11,10.0,"tensor(0.5882, grad_fn=<SmoothL1LossBackward0>)"
127,6120,25,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
128,6146,25,20.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
129,6152,5,0.0,"tensor(0.5865, grad_fn=<SmoothL1LossBackward0>)"
130,6194,41,40.0,"tensor(0.8823, grad_fn=<SmoothL1LossBackward0>)"
131,6375,180,30.0,"tensor(0.5873, grad_fn=<SmoothL1LossBackward0>)"
132,6429,53,20.0,"tensor(0.2928, grad_fn=<SmoothL1LossBackward0>)"
133,6439,9,0.0,"tensor(0.2932, grad_fn=<SmoothL1LossBackward0>)"
134,6469,29,10.0,"tensor(0.2944, grad_fn=<SmoothL1LossBackward0>)"
135,6499,29,0.0,"tensor(0.5873, grad_fn=<SmoothL1LossBackward0>)"
136,6541,41,10.0,"tensor(0.0020, grad_fn=<SmoothL1LossBackward0>)"
137,6610,68,30.0,"tensor(0.0029, grad_fn=<SmoothL1LossBackward0>)"
138,6656,45,50.0,"tensor(0.8825, grad_fn=<SmoothL1LossBackward0>)"
139,6668,11,0.0,"tensor(0.5885, grad_fn=<SmoothL1LossBackward0>)"
140,6767,98,50.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
141,6824,56,20.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
142,6874,49,20.0,"tensor(0.5858, grad_fn=<SmoothL1LossBackward0>)"
143,6882,7,0.0,"tensor(0.5859, grad_fn=<SmoothL1LossBackward0>)"
144,6898,15,0.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
145,6982,83,60.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
146,6987,4,0.0,"tensor(0.2938, grad_fn=<SmoothL1LossBackward0>)"
147,6996,8,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
148,7035,38,20.0,"tensor(0.2910, grad_fn=<SmoothL1LossBackward0>)"
149,7063,27,0.0,"tensor(0.2919, grad_fn=<SmoothL1LossBackward0>)"
150,7075,11,0.0,"tensor(0.8795, grad_fn=<SmoothL1LossBackward0>)"
151,7087,11,0.0,"tensor(0.2903, grad_fn=<SmoothL1LossBackward0>)"
152,7109,21,0.0,"tensor(0.2954, grad_fn=<SmoothL1LossBackward0>)"
153,7141,31,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
154,7244,102,50.0,"tensor(0.5797, grad_fn=<SmoothL1LossBackward0>)"
155,7505,260,115.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
156,7557,51,75.0,"tensor(0.5888, grad_fn=<SmoothL1LossBackward0>)"
157,7566,8,0.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
158,7601,34,20.0,"tensor(1.1678, grad_fn=<SmoothL1LossBackward0>)"
159,7637,35,0.0,"tensor(0.0022, grad_fn=<SmoothL1LossBackward0>)"
160,7655,17,10.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
161,7696,40,10.0,"tensor(0.5829, grad_fn=<SmoothL1LossBackward0>)"
162,7701,4,0.0,"tensor(0.5818, grad_fn=<SmoothL1LossBackward0>)"
163,7708,6,0.0,"tensor(0.0022, grad_fn=<SmoothL1LossBackward0>)"
164,7749,40,10.0,"tensor(0.2948, grad_fn=<SmoothL1LossBackward0>)"
165,7771,21,10.0,"tensor(0.5809, grad_fn=<SmoothL1LossBackward0>)"
166,7822,50,10.0,"tensor(0.2930, grad_fn=<SmoothL1LossBackward0>)"
167,7948,125,60.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
168,7974,25,20.0,"tensor(0.8769, grad_fn=<SmoothL1LossBackward0>)"
169,7995,20,0.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
170,8160,164,80.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
171,8200,39,10.0,"tensor(0.0017, grad_fn=<SmoothL1LossBackward0>)"
172,8209,8,0.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
173,8313,103,40.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
174,8321,7,0.0,"tensor(0.2972, grad_fn=<SmoothL1LossBackward0>)"
175,8404,82,60.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
176,8466,61,30.0,"tensor(0.2947, grad_fn=<SmoothL1LossBackward0>)"
177,8506,39,10.0,"tensor(0.5898, grad_fn=<SmoothL1LossBackward0>)"
178,8519,12,10.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
179,8525,5,0.0,"tensor(0.2954, grad_fn=<SmoothL1LossBackward0>)"
180,8547,21,0.0,"tensor(0.8630, grad_fn=<SmoothL1LossBackward0>)"
181,8592,44,10.0,"tensor(0.8714, grad_fn=<SmoothL1LossBackward0>)"
182,8613,20,10.0,"tensor(0.2843, grad_fn=<SmoothL1LossBackward0>)"
183,8619,5,0.0,"tensor(0.2899, grad_fn=<SmoothL1LossBackward0>)"
184,8648,28,20.0,"tensor(0.0024, grad_fn=<SmoothL1LossBackward0>)"
185,8660,11,0.0,"tensor(0.0053, grad_fn=<SmoothL1LossBackward0>)"
186,9024,363,80.0,"tensor(0.2941, grad_fn=<SmoothL1LossBackward0>)"
187,9031,6,0.0,"tensor(0.8765, grad_fn=<SmoothL1LossBackward0>)"
188,9043,11,0.0,"tensor(0.0037, grad_fn=<SmoothL1LossBackward0>)"
189,9088,44,10.0,"tensor(0.0028, grad_fn=<SmoothL1LossBackward0>)"
190,9093,4,0.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
191,9111,17,10.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
192,9118,6,0.0,"tensor(0.2884, grad_fn=<SmoothL1LossBackward0>)"
193,9142,23,10.0,"tensor(0.2983, grad_fn=<SmoothL1LossBackward0>)"
194,9190,47,40.0,"tensor(0.5725, grad_fn=<SmoothL1LossBackward0>)"
195,9218,27,0.0,"tensor(0.2864, grad_fn=<SmoothL1LossBackward0>)"
196,9252,33,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
197,9273,20,10.0,"tensor(0.2926, grad_fn=<SmoothL1LossBackward0>)"
198,9316,42,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
199,9328,11,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
200,9410,81,30.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
201,9440,29,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
202,9481,40,20.0,"tensor(0.5896, grad_fn=<SmoothL1LossBackward0>)"
203,9577,95,30.0,"tensor(0.2856, grad_fn=<SmoothL1LossBackward0>)"
204,9590,12,0.0,"tensor(0.2942, grad_fn=<SmoothL1LossBackward0>)"
205,9754,163,70.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
206,9889,134,40.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
207,9926,36,30.0,"tensor(0.5774, grad_fn=<SmoothL1LossBackward0>)"
208,10046,119,20.0,"tensor(0.2796, grad_fn=<SmoothL1LossBackward0>)"
209,10084,37,10.0,"tensor(0.2835, grad_fn=<SmoothL1LossBackward0>)"
210,10091,6,0.0,"tensor(0.2927, grad_fn=<SmoothL1LossBackward0>)"
211,10096,4,0.0,"tensor(0.5897, grad_fn=<SmoothL1LossBackward0>)"
212,10171,74,30.0,"tensor(1.1672, grad_fn=<SmoothL1LossBackward0>)"
213,10212,40,20.0,"tensor(0.8843, grad_fn=<SmoothL1LossBackward0>)"
214,10228,15,10.0,"tensor(0.0036, grad_fn=<SmoothL1LossBackward0>)"
215,10246,17,10.0,"tensor(0.2767, grad_fn=<SmoothL1LossBackward0>)"
216,10320,73,30.0,"tensor(0.2945, grad_fn=<SmoothL1LossBackward0>)"
217,10340,19,10.0,"tensor(0.2947, grad_fn=<SmoothL1LossBackward0>)"
218,10359,18,0.0,"tensor(0.0028, grad_fn=<SmoothL1LossBackward0>)"
219,10392,32,30.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
220,10555,162,70.0,"tensor(0.8643, grad_fn=<SmoothL1LossBackward0>)"
221,10607,51,10.0,"tensor(0.2844, grad_fn=<SmoothL1LossBackward0>)"
222,10677,69,20.0,"tensor(0.5820, grad_fn=<SmoothL1LossBackward0>)"
223,10775,97,70.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
224,10780,4,10.0,"tensor(0.2785, grad_fn=<SmoothL1LossBackward0>)"
225,10793,12,0.0,"tensor(0.5875, grad_fn=<SmoothL1LossBackward0>)"
226,10838,44,60.0,"tensor(0.2939, grad_fn=<SmoothL1LossBackward0>)"
227,10964,125,10.0,"tensor(0.3000, grad_fn=<SmoothL1LossBackward0>)"
228,11001,36,20.0,"tensor(0.5805, grad_fn=<SmoothL1LossBackward0>)"
