episode,steps_done,timestep,total_reward,loss
164,8095,58,10.0,"tensor(0.9342, grad_fn=<SmoothL1LossBackward0>)"
165,8121,25,20.0,"tensor(0.1869, grad_fn=<SmoothL1LossBackward0>)"
166,8146,24,10.0,"tensor(0.9561, grad_fn=<SmoothL1LossBackward0>)"
167,8169,22,10.0,"tensor(0.5030, grad_fn=<SmoothL1LossBackward0>)"
168,8187,17,10.0,"tensor(0.3478, grad_fn=<SmoothL1LossBackward0>)"
169,8310,122,60.0,"tensor(1.0095, grad_fn=<SmoothL1LossBackward0>)"
170,8317,6,10.0,"tensor(0.0784, grad_fn=<SmoothL1LossBackward0>)"
171,8333,15,0.0,"tensor(0.0885, grad_fn=<SmoothL1LossBackward0>)"
172,8431,97,70.0,"tensor(2.0342, grad_fn=<SmoothL1LossBackward0>)"
173,8464,32,0.0,"tensor(0.1010, grad_fn=<SmoothL1LossBackward0>)"
174,8562,97,40.0,"tensor(0.1918, grad_fn=<SmoothL1LossBackward0>)"
175,8582,19,0.0,"tensor(0.4368, grad_fn=<SmoothL1LossBackward0>)"
176,8686,103,20.0,"tensor(1.0089, grad_fn=<SmoothL1LossBackward0>)"
177,8699,12,0.0,"tensor(0.0495, grad_fn=<SmoothL1LossBackward0>)"
178,8740,40,30.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
179,8752,11,10.0,"tensor(1.7907, grad_fn=<SmoothL1LossBackward0>)"
180,8771,18,10.0,"tensor(0.0550, grad_fn=<SmoothL1LossBackward0>)"
181,8788,16,0.0,"tensor(0.3869, grad_fn=<SmoothL1LossBackward0>)"
182,8818,29,0.0,"tensor(0.4264, grad_fn=<SmoothL1LossBackward0>)"
183,8895,76,50.0,"tensor(0.4216, grad_fn=<SmoothL1LossBackward0>)"
184,8898,2,0.0,"tensor(0.1037, grad_fn=<SmoothL1LossBackward0>)"
185,8962,63,30.0,"tensor(0.0794, grad_fn=<SmoothL1LossBackward0>)"
186,8987,24,0.0,"tensor(0.0514, grad_fn=<SmoothL1LossBackward0>)"
187,9333,345,205.0,"tensor(0.2651, grad_fn=<SmoothL1LossBackward0>)"
188,9349,15,0.0,"tensor(0.2600, grad_fn=<SmoothL1LossBackward0>)"
189,9353,3,0.0,"tensor(0.0803, grad_fn=<SmoothL1LossBackward0>)"
190,9362,8,30.0,"tensor(1.1274, grad_fn=<SmoothL1LossBackward0>)"
191,9462,99,45.0,"tensor(0.0346, grad_fn=<SmoothL1LossBackward0>)"
192,9480,17,0.0,"tensor(1.4169, grad_fn=<SmoothL1LossBackward0>)"
193,9510,29,0.0,"tensor(0.0428, grad_fn=<SmoothL1LossBackward0>)"
194,9515,4,10.0,"tensor(0.1934, grad_fn=<SmoothL1LossBackward0>)"
195,9524,8,0.0,"tensor(0.3415, grad_fn=<SmoothL1LossBackward0>)"
196,9532,7,10.0,"tensor(1.0624, grad_fn=<SmoothL1LossBackward0>)"
197,9551,18,0.0,"tensor(1.2128, grad_fn=<SmoothL1LossBackward0>)"
