episode,steps_done,timestep,total_reward,loss
235,14681,70,40.0,"tensor(0.1488, grad_fn=<SmoothL1LossBackward0>)"
236,14688,6,0.0,"tensor(0.1486, grad_fn=<SmoothL1LossBackward0>)"
237,14710,21,0.0,"tensor(0.4449, grad_fn=<SmoothL1LossBackward0>)"
238,14740,29,30.0,"tensor(0.4442, grad_fn=<SmoothL1LossBackward0>)"
239,14771,30,0.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
240,14779,7,10.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
241,14829,49,30.0,"tensor(0.8180, grad_fn=<SmoothL1LossBackward0>)"
242,14967,137,20.0,"tensor(0.4445, grad_fn=<SmoothL1LossBackward0>)"
243,15113,145,20.0,"tensor(0.4440, grad_fn=<SmoothL1LossBackward0>)"
244,15121,7,0.0,"tensor(0.5228, grad_fn=<SmoothL1LossBackward0>)"
245,15161,39,20.0,"tensor(0.7402, grad_fn=<SmoothL1LossBackward0>)"
246,15164,2,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
247,15208,43,10.0,"tensor(0.4443, grad_fn=<SmoothL1LossBackward0>)"
248,15234,25,10.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
249,15256,21,10.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
250,15312,55,20.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
251,15340,27,0.0,"tensor(0.6003, grad_fn=<SmoothL1LossBackward0>)"
252,15534,193,60.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
253,15563,28,10.0,"tensor(0.4443, grad_fn=<SmoothL1LossBackward0>)"
254,15635,71,60.0,"tensor(0.5914, grad_fn=<SmoothL1LossBackward0>)"
255,15738,102,30.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
256,15760,21,10.0,"tensor(0.1492, grad_fn=<SmoothL1LossBackward0>)"
257,15931,170,70.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
258,15990,58,10.0,"tensor(0.2277, grad_fn=<SmoothL1LossBackward0>)"
259,16055,64,40.0,"tensor(0.5913, grad_fn=<SmoothL1LossBackward0>)"
260,16063,7,0.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
261,16088,24,0.0,"tensor(0.1494, grad_fn=<SmoothL1LossBackward0>)"
262,16105,16,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
263,16109,3,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
264,16133,23,20.0,"tensor(0.4438, grad_fn=<SmoothL1LossBackward0>)"
265,16190,56,30.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
266,16205,14,10.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
267,16211,5,0.0,"tensor(0.4436, grad_fn=<SmoothL1LossBackward0>)"
268,16263,51,20.0,"tensor(0.5231, grad_fn=<SmoothL1LossBackward0>)"
269,16284,20,10.0,"tensor(0.5921, grad_fn=<SmoothL1LossBackward0>)"
270,16300,15,10.0,"tensor(0.4448, grad_fn=<SmoothL1LossBackward0>)"
271,16333,32,30.0,"tensor(0.2267, grad_fn=<SmoothL1LossBackward0>)"
272,16355,21,0.0,"tensor(0.4441, grad_fn=<SmoothL1LossBackward0>)"
273,16429,73,70.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
274,16476,46,20.0,"tensor(0.1485, grad_fn=<SmoothL1LossBackward0>)"
275,16505,28,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
276,16568,62,30.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
277,16575,6,10.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
